epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.505,1.83613,2.63228,1.04367,0.28576,0.16755,0.13199,0.07062,1.62486,1.49435,0.97778,0.000237156,0.000237156,0.000237156
2,219.14,1.69612,1.58612,0.99768,0.19065,0.18016,0.13542,0.072,1.68279,1.50684,0.98176,0.000459476,0.000459476,0.000459476
3,341.385,1.65208,1.46223,0.98578,0.23055,0.19848,0.17051,0.09388,1.60822,1.38299,0.96584,0.000666088,0.000666088,0.000666088
4,440.937,1.6307,1.38731,0.97629,0.26875,0.23615,0.20258,0.11363,1.52203,1.24159,0.94786,0.000643314,0.000643314,0.000643314
5,533.712,1.59681,1.33074,0.97135,0.28925,0.24671,0.21328,0.1213,1.53983,1.24145,0.94244,0.000619752,0.000619752,0.000619752
6,624.693,1.57507,1.29381,0.96499,0.30907,0.25007,0.22353,0.12371,1.53109,1.21075,0.94711,0.00059619,0.00059619,0.00059619
7,713.021,1.56018,1.25894,0.95974,0.30872,0.26022,0.23173,0.13227,1.46953,1.18266,0.9385,0.000572628,0.000572628,0.000572628
8,822.86,1.53394,1.23461,0.95567,0.33849,0.24926,0.23318,0.13226,1.49256,1.17015,0.93615,0.000549066,0.000549066,0.000549066
9,918.888,1.52173,1.21385,0.95336,0.32257,0.26027,0.23618,0.13445,1.47826,1.15416,0.93315,0.000525504,0.000525504,0.000525504
10,1004.11,1.51986,1.19822,0.95,0.33178,0.27089,0.2485,0.14134,1.45596,1.16007,0.93168,0.000501942,0.000501942,0.000501942
11,1090.82,1.51427,1.17951,0.94853,0.36695,0.26806,0.25817,0.14391,1.4574,1.13124,0.93028,0.00047838,0.00047838,0.00047838
12,1184.54,1.49462,1.16368,0.94529,0.35949,0.27742,0.2591,0.14628,1.44585,1.11885,0.9297,0.000454818,0.000454818,0.000454818
13,1274.42,1.49645,1.15715,0.94495,0.35747,0.27219,0.25531,0.14453,1.43618,1.1086,0.92715,0.000431256,0.000431256,0.000431256
14,1366.74,1.48787,1.14742,0.94257,0.38985,0.26845,0.26137,0.15274,1.4218,1.0984,0.92314,0.000407694,0.000407694,0.000407694
15,1473.41,1.47889,1.13067,0.93948,0.36534,0.2835,0.26762,0.15155,1.42521,1.09274,0.92292,0.000384132,0.000384132,0.000384132
16,1563.37,1.46229,1.12054,0.93767,0.37787,0.28703,0.27355,0.15558,1.42592,1.08786,0.92421,0.00036057,0.00036057,0.00036057
17,1666.94,1.46026,1.1145,0.93519,0.37841,0.29604,0.28167,0.16209,1.4108,1.06876,0.92285,0.000337008,0.000337008,0.000337008
18,1756,1.45464,1.10559,0.93452,0.37195,0.29591,0.28033,0.15891,1.41832,1.07496,0.92195,0.000313446,0.000313446,0.000313446
19,1846.84,1.45246,1.09567,0.93153,0.38355,0.29258,0.27954,0.16022,1.40763,1.06117,0.92018,0.000289884,0.000289884,0.000289884
20,1934.93,1.44186,1.08343,0.93013,0.40121,0.29436,0.28667,0.16464,1.40613,1.05334,0.92047,0.000266322,0.000266322,0.000266322
21,2023.64,1.40602,1.06461,0.93086,0.39176,0.29018,0.27983,0.16082,1.41278,1.06181,0.92234,0.00024276,0.00024276,0.00024276
22,2108.65,1.39024,1.0363,0.927,0.39109,0.2942,0.28614,0.16467,1.39712,1.05017,0.91718,0.000219198,0.000219198,0.000219198
23,2192.59,1.38573,1.02594,0.92596,0.38791,0.30204,0.28905,0.16675,1.38765,1.0448,0.9163,0.000195636,0.000195636,0.000195636
24,2274.44,1.3758,1.01529,0.9213,0.39852,0.29925,0.29022,0.16625,1.38189,1.03674,0.91398,0.000172074,0.000172074,0.000172074
25,2357.58,1.37117,1.00618,0.9226,0.39602,0.30278,0.29282,0.16813,1.38538,1.0339,0.91749,0.000148512,0.000148512,0.000148512
26,2438.01,1.3695,0.99794,0.9202,0.39554,0.30103,0.29476,0.16889,1.38238,1.02866,0.9155,0.00012495,0.00012495,0.00012495
27,2968.02,1.35595,0.98555,0.91953,0.39945,0.30471,0.29557,0.17011,1.37696,1.02505,0.9135,0.000101388,0.000101388,0.000101388
28,3055.72,1.34881,0.97927,0.91672,0.40012,0.30771,0.29537,0.17037,1.37606,1.02541,0.91293,7.7826e-05,7.7826e-05,7.7826e-05
29,3138.36,1.34332,0.9722,0.91515,0.38777,0.31196,0.29648,0.17132,1.37678,1.02143,0.9116,5.4264e-05,5.4264e-05,5.4264e-05
30,3216.89,1.3397,0.96531,0.91343,0.40357,0.30884,0.29782,0.17254,1.37096,1.0177,0.91092,3.0702e-05,3.0702e-05,3.0702e-05
