epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2118,1.51512,3.73247,1.16916,0.04261,0.32081,0.09118,0.05501,1.49361,3.4996,1.1254,0.000131313,0.000131313,0.000131313
2,49.779,1.48482,2.29072,1.17181,0.51516,0.15653,0.14168,0.08659,1.46025,2.48145,1.19652,0.000259406,0.000259406,0.000259406
3,73.2536,1.43409,1.96827,1.15701,0.54335,0.2317,0.19782,0.11913,1.43851,1.88954,1.15777,0.00038222,0.00038222,0.00038222
4,96.7821,1.41153,1.84686,1.14538,0.55529,0.23425,0.22978,0.13382,1.48196,1.61748,1.19246,0.00037624,0.00037624,0.00037624
5,119.271,1.38676,1.74151,1.12998,0.57234,0.2465,0.24779,0.14751,1.36595,1.56442,1.12172,0.00036832,0.00036832,0.00036832
6,142.673,1.35844,1.67512,1.11505,0.58184,0.28872,0.27498,0.16221,1.40313,1.51441,1.13234,0.0003604,0.0003604,0.0003604
7,165.769,1.34692,1.62056,1.10933,0.58775,0.2871,0.27823,0.16799,1.40251,1.59488,1.1355,0.00035248,0.00035248,0.00035248
8,188.843,1.33095,1.58057,1.1074,0.61712,0.28262,0.28537,0.17327,1.38677,1.49058,1.13155,0.00034456,0.00034456,0.00034456
9,212.037,1.31726,1.51672,1.09745,0.60004,0.31807,0.31217,0.19123,1.34092,1.42575,1.10634,0.00033664,0.00033664,0.00033664
10,236.165,1.30898,1.48448,1.0933,0.5649,0.33449,0.30979,0.18464,1.35214,1.42554,1.11171,0.00032872,0.00032872,0.00032872
11,265.031,1.27735,1.44738,1.07969,0.58225,0.3078,0.30593,0.18741,1.33183,1.47524,1.11,0.0003208,0.0003208,0.0003208
12,292.581,1.3031,1.42369,1.08878,0.58193,0.32802,0.30714,0.18553,1.3227,1.4286,1.10083,0.00031288,0.00031288,0.00031288
13,315.734,1.28477,1.38671,1.08206,0.64169,0.33206,0.33457,0.20131,1.34504,1.38315,1.10756,0.00030496,0.00030496,0.00030496
14,339.034,1.25736,1.35715,1.07164,0.62481,0.32117,0.30996,0.19029,1.33641,1.46794,1.11202,0.00029704,0.00029704,0.00029704
15,362.371,1.27039,1.34758,1.07734,0.66649,0.33227,0.33827,0.20013,1.36693,1.40281,1.11364,0.00028912,0.00028912,0.00028912
16,385.984,1.25045,1.32213,1.06524,0.60795,0.30605,0.32339,0.1878,1.34666,1.38678,1.11419,0.0002812,0.0002812,0.0002812
17,408.84,1.24616,1.2919,1.06511,0.59937,0.34146,0.34045,0.20535,1.3599,1.33204,1.09737,0.00027328,0.00027328,0.00027328
18,430.963,1.21861,1.25319,1.05724,0.60537,0.31117,0.33296,0.20006,1.32179,1.33375,1.10722,0.00026536,0.00026536,0.00026536
19,453.138,1.24311,1.25567,1.05868,0.61185,0.32962,0.34982,0.2056,1.40007,1.31811,1.12384,0.00025744,0.00025744,0.00025744
20,476.275,1.22841,1.24444,1.05821,0.68344,0.31868,0.36681,0.22794,1.27312,1.26346,1.07192,0.00024952,0.00024952,0.00024952
21,498.597,1.21787,1.22366,1.0544,0.61604,0.37938,0.3723,0.22505,1.3416,1.27873,1.10249,0.0002416,0.0002416,0.0002416
22,522.855,1.20635,1.2033,1.04872,0.71122,0.31741,0.36874,0.21747,1.32573,1.27952,1.08966,0.00023368,0.00023368,0.00023368
23,549.832,1.20569,1.18921,1.04841,0.63107,0.36072,0.38628,0.2338,1.33611,1.27088,1.09671,0.00022576,0.00022576,0.00022576
24,575.731,1.2058,1.17637,1.04718,0.63331,0.35614,0.367,0.2223,1.27203,1.29167,1.07772,0.00021784,0.00021784,0.00021784
25,597.884,1.20348,1.16957,1.04458,0.65728,0.34418,0.37539,0.2243,1.33952,1.26616,1.09894,0.00020992,0.00020992,0.00020992
26,619.984,1.18879,1.14896,1.03351,0.58568,0.33532,0.35151,0.21338,1.28073,1.23154,1.0709,0.000202,0.000202,0.000202
27,642.271,1.17801,1.12353,1.03744,0.59147,0.40129,0.37767,0.23432,1.26581,1.25333,1.07312,0.00019408,0.00019408,0.00019408
28,664.446,1.18564,1.11592,1.03518,0.64596,0.32112,0.35905,0.21735,1.28799,1.25412,1.07858,0.00018616,0.00018616,0.00018616
29,686.616,1.18023,1.11809,1.0345,0.63664,0.3594,0.37955,0.23443,1.2741,1.2328,1.07328,0.00017824,0.00017824,0.00017824
30,708.756,1.15414,1.09102,1.02761,0.54517,0.40174,0.4041,0.25147,1.29572,1.20132,1.08318,0.00017032,0.00017032,0.00017032
31,730.952,1.16366,1.09008,1.03045,0.63519,0.35201,0.38099,0.23499,1.26046,1.23005,1.06935,0.0001624,0.0001624,0.0001624
32,753.218,1.15486,1.07288,1.02752,0.6328,0.3773,0.40149,0.24512,1.30217,1.19983,1.08986,0.00015448,0.00015448,0.00015448
33,775.659,1.15402,1.05796,1.022,0.58184,0.36128,0.38549,0.23475,1.31039,1.23365,1.09672,0.00014656,0.00014656,0.00014656
34,798.532,1.1429,1.055,1.02309,0.69856,0.33121,0.41551,0.25634,1.28816,1.18482,1.07749,0.00013864,0.00013864,0.00013864
35,823.634,1.14833,1.04099,1.01864,0.55533,0.39578,0.39352,0.24014,1.26691,1.20512,1.07353,0.00013072,0.00013072,0.00013072
36,852.753,1.14199,1.04043,1.01539,0.55306,0.38824,0.38114,0.22986,1.30583,1.21762,1.08821,0.0001228,0.0001228,0.0001228
37,879.699,1.13307,1.02897,1.01409,0.67831,0.35435,0.42804,0.26134,1.28797,1.16921,1.07918,0.00011488,0.00011488,0.00011488
38,903.375,1.14176,1.02171,1.01646,0.73961,0.33543,0.42252,0.26378,1.27347,1.20627,1.07614,0.00010696,0.00010696,0.00010696
39,925.67,1.13477,1.00968,1.01545,0.61729,0.36015,0.42977,0.26614,1.27349,1.1739,1.07056,9.904e-05,9.904e-05,9.904e-05
40,948.885,1.13168,1.0071,1.00963,0.68446,0.34211,0.42416,0.26268,1.30479,1.21967,1.08958,9.112e-05,9.112e-05,9.112e-05
41,973.22,1.1456,1.02588,1.01193,0.60932,0.34438,0.40413,0.2462,1.34153,1.2324,1.1142,8.32e-05,8.32e-05,8.32e-05
42,993.041,1.11555,0.96278,0.99428,0.57994,0.37743,0.4165,0.25306,1.31986,1.19176,1.09684,7.528e-05,7.528e-05,7.528e-05
43,1013.2,1.10296,0.93876,0.99312,0.58319,0.37851,0.42169,0.25965,1.28678,1.19053,1.07951,6.736e-05,6.736e-05,6.736e-05
44,1033.32,1.09746,0.93072,0.98903,0.70234,0.34711,0.40316,0.24263,1.30062,1.18271,1.08457,5.944e-05,5.944e-05,5.944e-05
45,1053.23,1.08761,0.92274,0.98596,0.61459,0.36947,0.42661,0.2635,1.29816,1.17836,1.08444,5.152e-05,5.152e-05,5.152e-05
46,1073.14,1.09242,0.91013,0.98643,0.72675,0.33769,0.42465,0.26359,1.29118,1.187,1.08279,4.36e-05,4.36e-05,4.36e-05
47,1093.18,1.08524,0.90752,0.98446,0.71031,0.34246,0.41997,0.25855,1.30807,1.19243,1.08946,3.568e-05,3.568e-05,3.568e-05
48,1113.06,1.08114,0.9007,0.98095,0.69044,0.34436,0.42608,0.25738,1.31327,1.19195,1.08875,2.776e-05,2.776e-05,2.776e-05
49,1132.99,1.07432,0.89142,0.97693,0.60386,0.37328,0.42198,0.25771,1.28644,1.18794,1.07949,1.984e-05,1.984e-05,1.984e-05
50,1152.98,1.07608,0.88787,0.97796,0.61246,0.37417,0.42718,0.25986,1.30614,1.18512,1.08804,1.192e-05,1.192e-05,1.192e-05
